loss_full_v2_se,loss_full_v2_se_128_channels,loss_full_v2_se_32_channels,loss_full_v2_se_5_blocks,loss_full_v2_se_atros_121,loss_full_v2_se_atros_121_single,loss_full_v2_se_atros_12421,loss_full_v2_se_atros_222_single,loss_full_v2_se_atros_241,loss_full_v2_se_atros_421,loss_full_v2_se_concat,loss_full_v2_se_double,loss_full_v2_se_fullsize,loss_full_v2_se_global_atros_12421,loss_full_v2_se_global_only,loss_full_v2_se_partial_atros_121,loss_full_v2_se_partial_atros_12421,loss_full_v2_se_partial_atros_421,loss_full_v2_se_res_bilinear,loss_full_v2_se_res_bilinear_V2_group1,loss_full_v2_se_res_bilinear_V2_group2,loss_full_v2_se_res_bilinear_V2_group4,loss_full_v2_se_V2_group4,loss_full_v2_spatial,loss_full_v2_spatial_atros_121,loss_full_v2_spatial_atros_121_diff_res,loss_full_v2_spatial_atros_241_diff_res,loss_full_v2_spatial_up_features_atros_421,loss_full_v2_spatial_up_features_atros_421_res,loss_full_v2_upscale_single_atros_131,loss_standard,loss_standard_5
0.40054778959602116,0.2900216218084097,0.6798550501465798,0.4411384230479598,0.4336214499548078,0.42358622308820487,0.43362764567136763,0.4359336482360959,0.48102170675992967,0.4699277188628912,0.32589529938995837,0.39024675972759726,0.4899742487818003,0.45226837806403636,0.4135785881429911,0.5690720811486244,0.4206879012286663,0.6075049608945846,0.014221170113887637,0.012652237561997026,0.012034319818485528,0.01212387327104807,0.35854395665228367,0.5227452736347914,0.4797069404274225,0.4585305418819189,0.48141625225543977,0.5060581881552935,0.40183928813785313,0.4063529778271914,0.6327044486999511,0.42257391307502984
0.10483247209340334,0.08959291065111756,0.22128919698297977,0.1213585626333952,0.11108778640627862,0.10969496564939618,0.10234620682895183,0.10647571310400963,0.12141727246344089,0.1135193444788456,0.09361782297492027,0.10454692076891661,0.12089187037199736,0.11231563445180655,0.11278562620282173,0.2006924945861101,0.09835797119885684,0.2212768319994211,0.010466946661472321,0.010336776054464281,0.010334970150142907,0.010330884181894363,0.10842051263898611,0.12079749293625355,0.12083576805889606,0.10375680420547724,0.11560621336102486,0.1412061095237732,0.11047299597412348,0.091418691072613,0.2609285283833742,0.1162790646776557
0.08445174936205149,0.07330525126308203,0.10650685355067253,0.09641056144610047,0.09423490054905415,0.09083170425146818,0.08704657191410661,0.09301974680274724,0.09808918815106153,0.09867979222908616,0.08091680128127336,0.09391022576019167,0.0993874573148787,0.09435492390766739,0.09616465354338288,0.1106335062533617,0.07993357758969069,0.10418292228132486,0.010374786204192788,0.010277134785428643,0.010227450937964021,0.010282650694716722,0.09831791771575808,0.09258164921775461,0.0963266889564693,0.0914959866553545,0.0956176994368434,0.11259386129677296,0.09428601060062647,0.07562043452635407,0.1179341733455658,0.09413080774247647
0.07859658291563391,0.05303899412974715,0.0954292630776763,0.08279491141438484,0.0808610619045794,0.08267524754628539,0.08262383183464408,0.08611449729651213,0.08857880448922514,0.08940209075808525,0.06270092502236366,0.08420571135357022,0.08702520383521914,0.08764371732249857,0.08698262954130768,0.09072505719959736,0.0716958848759532,0.08743840605020523,0.01029417208628729,0.010274544695857913,0.010184869635850191,0.010204214975237847,0.09066483611240983,0.08153455471619964,0.0859590930864215,0.08422070331871509,0.08614862402901054,0.09821902131661772,0.09103672755882145,0.0677532829809934,0.10176188014447689,0.08341847145929933
0.07011340465396643,0.04433469297364354,0.0925044602714479,0.08045144742354751,0.06907489504665136,0.07776177609339356,0.07909465655684471,0.08407969186082483,0.08074164763092995,0.08572796005755663,0.05196054046973586,0.0756440220400691,0.08209811272099614,0.08273164173588157,0.07765528084710241,0.0816244063898921,0.06571603002958,0.07893293835222721,0.01026220569619909,0.010161310085095465,0.010183340695220977,0.010165550641249865,0.0806985754519701,0.07850814275443554,0.07717944672331215,0.07392233097925782,0.07962764305993915,0.0917844190262258,0.08423943184316159,0.0556929140817374,0.09570402279496193,0.07839159304276108
0.053559812158346175,0.04214340760372579,0.0858619031496346,0.06995922476053237,0.05744768138974905,0.06779698599129916,0.07066480992361904,0.07498659454286098,0.0701838094741106,0.08126044366508722,0.04735120111145079,0.06631437465548515,0.08141603078693152,0.07958964509889484,0.06757036875933409,0.07641165815293789,0.050122761027887465,0.07303128819912671,0.010195697355084122,0.010093334538396448,0.010085031611379237,0.010152963898144662,0.059288726281374694,0.06986120874062181,0.06720828237012029,0.06199245247989893,0.07414935575798154,0.0925582304596901,0.07766636684536934,0.044060169626027344,0.08980648890137673,0.06963904313743115
0.043564014695584775,0.03625805955380201,0.08541076285764575,0.05579787651076913,0.04797759903594852,0.054111194284632805,0.057287645526230335,0.0694432626478374,0.05593930394388735,0.07164628226310014,0.04193987413309515,0.05211479649879038,0.07334489077329635,0.07484712349250913,0.04789650640450418,0.07061154451221227,0.037515368405729534,0.07115442287176847,0.010140299086924643,0.01002390799112618,0.010033585014753044,0.01009647420141846,0.0494648827239871,0.0555001899600029,0.05358656542375684,0.047949867835268375,0.060185724124312404,0.09087665295228362,0.06944914376363158,0.0385250979103148,0.08407488577067852,0.050133686326444146
0.04158223830163479,0.03638100209645927,0.08080848651006818,0.04637830820865929,0.04387474013492465,0.04733588024973869,0.04655978097580373,0.051922763139009474,0.04649317385628819,0.05728676430881023,0.04171421369537711,0.045332417776808145,0.05845710067078471,0.06648412300273776,0.04431174686178565,0.06663368176668882,0.03597627501003444,0.06854310799390077,0.010096906707622111,0.009838756802491844,0.009896817855769768,0.010092678735964,0.04630453195422888,0.04429515562951565,0.04604045888409018,0.04119752929545939,0.04671303643845022,0.08731892928481103,0.06251305993646383,0.03488883231766522,0.08216921426355839,0.04606280317530036
0.03920758501626551,0.0342179408762604,0.0774866707623005,0.046887960145249964,0.04360051569528878,0.044352200161665675,0.045138039626181126,0.0425945267546922,0.043074439838528635,0.04494724990800023,0.03650554213672876,0.03994220769964159,0.047611586190760134,0.048988548060879114,0.04083730620332062,0.0637278201058507,0.03159684156998992,0.06128245685249567,0.010070968652144074,0.00957235338864848,0.009735774481669068,0.010039950115606188,0.04196040988899767,0.0426370239816606,0.04191495883278549,0.04086616863496602,0.044028817256912586,0.08554286966100336,0.05382307674735785,0.03208336094394326,0.07867388874292373,0.04160288185812533
0.03839262314140797,0.03076855456456542,0.07299852138385177,0.04182604574598372,0.03945587100461125,0.040676233312115076,0.043120522517710924,0.03880671756342054,0.04056053371168673,0.04150183433666825,0.03427297370508313,0.03994375942274928,0.04564298707991839,0.043623547488823536,0.03831135579384863,0.05886352024972439,0.030668508494272828,0.05249446202069521,0.009993956971447915,0.009262540098279714,0.00964192554820329,0.00994917789939791,0.041002711793407795,0.04127154001034796,0.04160334202460945,0.03649158203043044,0.04197478527203202,0.08234348185360432,0.04635223438963294,0.031086612911894917,0.072644735686481,0.03923752740956843
